[MODS_DICT_UPDATE] req_id=1, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 1}, '32-QAM': {'c': 0}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=2, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 1}, '32-QAM': {'c': 1}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=3, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 2}, '32-QAM': {'c': 1}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=4, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 2}, '32-QAM': {'c': 2}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=5, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 4}, '32-QAM': {'c': 2}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=6, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 0}, '16-QAM': {'c': 4}, '32-QAM': {'c': 4}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=7, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 4}, '32-QAM': {'c': 4}, '64-QAM': {'c': 0}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 0}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=8, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 4}, '32-QAM': {'c': 4}, '64-QAM': {'c': 1}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=9, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 5}, '32-QAM': {'c': 4}, '64-QAM': {'c': 1}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=10, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 1}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 5}, '32-QAM': {'c': 4}, '64-QAM': {'c': 2}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
[MODS_DICT_UPDATE] req_id=11, mods={'100': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 3, '32-QAM': 0, '64-QAM': 1}, 'BPSK': {'c': 0}, 'QPSK': {'c': 0}, '8-QAM': {'c': 2}, '16-QAM': {'c': 6}, '32-QAM': {'c': 4}, '64-QAM': {'c': 2}, '200': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 1, '32-QAM': 1, '64-QAM': 0}, '300': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '400': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}, '500': {'BPSK': 0, 'QPSK': 0, '8-QAM': 2, '16-QAM': 0, '32-QAM': 1, '64-QAM': 0}, '600': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 2, '32-QAM': 0, '64-QAM': 0}, '700': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 2, '64-QAM': 1}, '800': {'BPSK': 0, 'QPSK': 0, '8-QAM': 0, '16-QAM': 0, '32-QAM': 0, '64-QAM': 0}}
